Cislo zastavky;Zemepisna sirka;Zemepisna dlzka;Stat;Okres;Obec;Cast obce;Nazov zastavky
52741;49,101383;19,661993;SK;LM;Veterná Poruba;;skládka TKO
52765;49.340627100000006;19.73189534522951;SK;TS;Vitanová;;Ski
52778;49,225008;18,738123;SK;ZA;Žilina;;Hurbanova Mirage
52779;49,219555;18,757451;SK;ZA;Žilina;;Košická TESCO hyp,
52780;49,213754;18,762646;SK;ZA;Žilina;;Vlčince Sv,Cyrila a Metoda
52781;49,210751;18,760242;SK;ZA;Žilina;;Vlčince Obchodná
52782;49,20921;18,766098;SK;ZA;Žilina;;Vlčince Matice slovenskej
52783;49,207035;18,734778;SK;ZA;Žilina;;Poľná Váhostav
52784;49,199059;18,734624;SK;ZA;Žilina;;Solinky Smreková
52785;49,19618;18,740705;SK;ZA;Žilina;;Solinky Limbová
52786;49,199022;18,745915;SK;ZA;Žilina;;Solinky Jaseňová
52787;49,209488;18,71249;SK;ZA;Žilina;;Hájik Mateja Bela
52788;49,215692;18,709323;SK;ZA;Žilina;;Hájik Stodolova
52799;49,213142;18,712684;SK;ZA;Žilina;;Hájik Slnečné nám,
52802;49,220914;18,759828;SK;ZA;Žilina;;Na Horevaží TESCO hyp,
52835;49,130738;19,499851;SK;LM;Prosiek;Zádiel;
52836;0;0;SK;LM;Svätý Kríž;;fikt,
52838;49,107498;19,074232;SK;MT;Podhradie;Konské;otoč,
52847;49,226638;18,718825;SK;ZA;Žilina;;Cestárska
52848;49,22281;18,721827;SK;ZA;Žilina;;Priemyselná
52849;49,222519;18,734761;SK;ZA;Žilina;;Veľká okružná
52850;49,226434;18,746631;SK;ZA;Žilina;;žel,st, MHD
52851;49,23139;18,71195;SK;ZA;Žilina;;Furdekova
52852;49,229386;18,719115;SK;ZA;Žilina;;Oceliarska
52853;49,229367;18,710347;SK;ZA;Žilina;Strážov;Hričovská
52854;49,23362;18,708257;SK;ZA;Žilina;Strážov;Priehradná
52855;49,235452;18,701796;SK;ZA;Žilina;Strážov;Prieložná
52856;49,245142;18,678627;SK;ZA;Žilina;Žilinská Lehota;Kortinská
52857;49,242768;18,69049;SK;ZA;Žilina;Žilinská Lehota;Pod Kozinom
52858;49,244157;18,680194;SK;ZA;Žilina;Žilinská Lehota;
52859;0;0;SK;ZA;Žilina;Žilinská Lehota;rázc,Hričov
52860;49,254692;18,677857;SK;ZA;Žilina;Žilinská Lehota;Priehrada
52861;49,247974;18,676064;SK;ZA;Žilina;Žilinská Lehota;Pod záhradkou
52984;49,252094;18,65074;SK;ZA;Horný Hričov;;Hôrky
53088;49,059508;19,531016;SK;LM;Svätý Kríž;;most
53250;49,078482;19,604755;SK;LM;Liptovský Mikuláš;;Tesco výstup
53251;49,081044;19,600508;SK;LM;Liptovský Mikuláš;Palúdzka;KAUFLAND
53252;49,073105;19,651043;SK;LM;Liptovský Mikuláš;Okoličné;kláštor
53253;49,08293;19,595629;SK;LM;Liptovský Mikuláš;Palúdzka;ul,SNP
53254;49,086906;19,588245;SK;LM;Liptovský Mikuláš;Palúdzka;ul,E,Penkalu
53255;49,082834;19,600427;SK;LM;Liptovský Mikuláš;Palúdzka;ZŠ
53256;49,068543;19,590447;SK;LM;Liptovský Mikuláš;;Demänovská cesta Vojenská akadémia
53257;49,07662;19,643062;SK;LM;Liptovský Mikuláš;;ul,1,mája Liptovská mliekareň
53259;49,077652;19,617919;SK;LM;Liptovský Mikuláš;;Nábrežie Vrbická ul,
53260;49,075538;19,669408;SK;LM;Liptovský Mikuláš;Stošice;otoč,
53261;49,070615;19,616121;SK;LM;Liptovský Mikuláš;;Ploštínska cesta PD
53262;49,08478;19,622817;SK;LM;Liptovský Mikuláš;;ul,Zápotockého
53263;49,076422;19,615608;SK;LM;Liptovský Mikuláš;;ul,Vrlíkova Vrbický most
53265;49,088398;19,618314;SK;LM;Liptovský Mikuláš;;ul,Podtatranského bytovky
53266;49,087169;19,623988;SK;LM;Liptovský Mikuláš;;ul,Podtatranského Záhradné mesto
53267;49,075109;19,633127;SK;LM;Liptovský Mikuláš;;ul,Priemyselná Deltech
53268;49,082029;19,623221;SK;LM;Liptovský Mikuláš;;ul,Nálepkova VPS
53269;49,079958;19,618233;SK;LM;Liptovský Mikuláš;;ul,Kollárova Geodézia
53270;49,086711;19,606199;SK;LM;Liptovský Mikuláš;;ul,Hurbanova lekáreň
53271;49,078907;19,632478;SK;LM;Liptovský Mikuláš;;ul,1,mája LIDL
53272;49,088303;19,610898;SK;LM;Liptovský Mikuláš;;ul,Rumanova Úrad práce
53273;49,078392;19,630462;SK;LM;Liptovský Mikuláš;;ul,Nová LIDL
53274;49,088245;19,610092;SK;LM;Liptovský Mikuláš;;ul,Hodžova Gymnázium
53275;49,079256;19,62788;SK;LM;Liptovský Mikuláš;;ul,Alexyho Cestné stavby
53276;49,076653;19,621428;SK;LM;Liptovský Mikuláš;;ul,Borbisova bytovky
53277;49,075895;19,626445;SK;LM;Liptovský Mikuláš;;ul,Borbisova Vrbický cintorín
53278;49,083977;19,619101;SK;LM;Liptovský Mikuláš;;ul,Čs, Brigády ZŠ
53279;49,082453;19,611089;SK;LM;Liptovský Mikuláš;;ul,Garbiarska centrum
53280;49,083929;19,609902;SK;LM;Liptovský Mikuláš;;ul,Hollého klub armády
53282;0;0;SK;LM;Liptovský Mikuláš;;ul,Stodolovcov
53481;49,214627;19,298102;SK;DK;Dolný Kubín;;Tesco
53483;49,204583;19,267907;SK;DK;Dolný Kubín;;Gäceľ
53486;49,210962;19,283418;SK;DK;Dolný Kubín;;Jednota OD
53487;49.2852625;19.26742094722005;SK;DK;Dolný Kubín;;Kubínska hoľa
53488;49,213637;19,297877;SK;DK;Dolný Kubín;;Lidl
53489;49,197967;19,308002;SK;DK;Dolný Kubín;;Banisko kotolňa
53715;49,168176;18,820214;SK;ZA;Stráňavy;;Pažite
53864;49,215749;18,842772;SK;ZA;Gbeľany;;Vzdelávacie centrum
53865;49,217209;18,744254;SK;ZA;Žilina;;Spanyolova - nemocnica
53866;49,223911;18,731556;SK;ZA;Žilina;;Rázusova
53868;49,219916;18,748377;SK;ZA;Žilina;;Predmestská
53869;49,221527;18,737792;SK;ZA;Žilina;;Polícia
53870;49,19217;18,720496;SK;ZA;Žilina;Bánová;Colnica
53871;49,207594;18,721155;SK;ZA;Žilina;Bánová;Jedľová
53872;49,195165;18,719893;SK;ZA;Žilina;Bánová;K cintorínu
53873;49,199508;18,721566;SK;ZA;Žilina;Bánová;Nám,Sv,J,Bosca
53874;49,203033;18,721669;SK;ZA;Žilina;Bánová;Oslobodenia
53875;49,203052;18,740293;SK;ZA;Žilina;;Rudnayova
53876;49,210738;18,744008;SK;ZA;Žilina;;Tajovského
53877;49,207368;18,742777;SK;ZA;Žilina;;Tulipánová
53878;49,213525;18,749249;SK;ZA;Žilina;;Vysokoškolákov - plaváreň
53879;49,25756;18,751343;SK;ZA;Žilina;Brodno;Brodňanská
53880;49,254873;18,756551;SK;ZA;Žilina;Brodno;
53881;49,254128;18,749308;SK;ZA;Žilina;Brodno;Zábrežná
53882;49,241228;18,747639;SK;ZA;Žilina;Budatín;Letná
53883;49,238237;18,740644;SK;ZA;Žilina;Budatín;Na Lány
53884;49,188616;18,733787;SK;ZA;Žilina;Bytčica;Na stanicu
53885;49,23041;18,729231;SK;ZA;Žilina;;Bratislavská
53887;49,227799;18,733193;SK;ZA;Žilina;;Hollého
53888;49,217681;18,738006;SK;ZA;Žilina;;Komenského
53889;49,223142;18,747281;SK;ZA;Žilina;;Štefánikovo nám,
53890;49,219375;18,740674;SK;ZA;Žilina;;Veľká okružná AUPARK
53891;49,24217;18,717437;SK;ZA;Žilina;Považ,Chlmec;Bytčianska
53892;49,239983;18,733285;SK;ZA;Žilina;Považ,Chlmec;Pri Kysuci
53893;49,214126;18,737385;SK;ZA;Žilina;;Mostná
53895;49,21089;18,732073;SK;ZA;Žilina;;Rajecká Stav,
53896;49,21349;18,731568;SK;ZA;Žilina;;Saleziánska
53897;0;0;SK;ZA;Žilina;;Kamenná Dom,potr,
53898;49,195213;18,727815;SK;ZA;Žilina;;Kamenná Kovošrot
53899;49,192947;18,727397;SK;ZA;Žilina;;Kamenná PRIUS
53900;49,203098;18,727475;SK;ZA;Žilina;;Kamenná obchodné centrum
53901;49,191014;18,825455;SK;ZA;Žilina;Mojšova Lúčka;Asanačný podnik
53903;49,207642;18,776603;SK;ZA;Žilina;;Bagarova
53904;49,20265;18,793085;SK;ZA;Žilina;;Šibenice Motel
53905;49,211276;18,773361;SK;ZA;Žilina;;Rosinky
53906;49,196211;18,766726;SK;ZA;Žilina;;Rosinská VÚVT
53907;49,20197;18,737383;SK;ZA;Žilina;;Centrálna
53909;49,192519;18,786124;SK;ZA;Žilina;Trnové;Cintorínska
53910;49,199084;18,781833;SK;ZA;Žilina;Trnové;Dolná Trnovská
53911;49,18763;18,79607;SK;ZA;Žilina;Trnové;Horná Trnovská
53912;49,183932;18,798605;SK;ZA;Žilina;Trnové;Magočovská
53913;49,190496;18,790048;SK;ZA;Žilina;Trnové;Ovocinárska
53914;49,196338;18,783591;SK;ZA;Žilina;Trnové;Potoky
53915;49,203677;18,77887;SK;ZA;Žilina;Trnové;Rakové
53916;49,201359;18,754791;SK;ZA;Žilina;;Žilinská univerzita
53917;49,204765;18,763131;SK;ZA;Žilina;;Fatranská
53918;49,213507;18,757575;SK;ZA;Žilina;;Poštová
53920;49,25357;18,742756;SK;ZA;Žilina;Vranie;Jastrabia
53921;49,257684;18,741258;SK;ZA;Žilina;Vranie;Vrania
53922;49,240799;18,762343;SK;ZA;Žilina;Zádubnie;Budatínska
53923;49,240247;18,769507;SK;ZA;Žilina;Zádubnie;Údolná
53924;49,238869;18,775913;SK;ZA;Žilina;Zádubnie;Prípojná
53925;49,242817;18,817323;SK;ZA;Žilina;Zástranie;Stará dedina
53926;49,239117;18,812458;SK;ZA;Žilina;Zástranie;Na Straník
53927;49,239443;18,799962;SK;ZA;Žilina;Zástranie;Salaš
53928;49,239734;18,808121;SK;ZA;Žilina;Zástranie;Na chotári
53929;49,222365;18,719135;SK;ZA;Žilina;Závodie;DPMŽ
53930;49,224985;18,713004;SK;ZA;Žilina;Závodie;Krematórium
53931;49,21848;18,716101;SK;ZA;Žilina;Závodie;Pod vinicou
53932;49,212129;18,752106;SK;ZA;Žilina;;ATRIUM Dubeň
53933;49,209004;18,715841;SK;ZA;Žilina;Závodie;Hôrecká
53935;49,202106;18,745573;SK;ZA;Žilina;;Pod hájom
53936;49,209288;18,726258;SK;ZA;Žilina;;Bánovská cesta
53937;49,178867;18,727491;SK;ZA;Žilina;Bytčica;
53938;49,211695;18,754976;SK;ZA;Žilina;;Internátna
53939;49.2136079;18.7413011;SK;ZA;Žilina;;Bernolákova
53940;49,223453;18,7583;SK;ZA;Žilina;;Hviezdoslavova
53941;49,203223;18,754476;SK;ZA;Žilina;;Univerzitná
54000;49,052748;19,303336;SK;RK;Ružomberok;;Sódovkáreň
54001;49,087921;19,270307;SK;RK;Ružomberok;;Žilinská cesta
54002;49,093007;19,258926;SK;RK;Ružomberok;Černová;otočka
54003;49,100228;19,245942;SK;RK;Ružomberok;Hrboltová;žel,st,
54004;49,095986;19,255391;SK;RK;Ružomberok;Černová;štadión
54005;49,091567;19,263908;SK;RK;Ružomberok;Černová;pri Váhu
54006;49,070025;19,273083;SK;RK;Ružomberok;;Hrabovo lanovka
54007;49,08035;19,280229;SK;RK;Ružomberok;;Hrabovo horáreň
54008;49,075175;19,303321;SK;RK;Ružomberok;;Plavisko
54009;49,071432;19,302188;SK;RK;Ružomberok;;Športová hala
54010;49,069362;19,301429;SK;RK;Ružomberok;;Do Baničného rázc,
54011;49,063154;19,30077;SK;RK;Ružomberok;;Baničné I,Houdeka
54012;49,069443;19,297679;SK;RK;Ružomberok;;Ema Bohúňa
54013;49,073789;19,298232;SK;RK;Ružomberok;;Jelence
54014;49,081247;19,282066;SK;RK;Ružomberok;;Hrabovská cesta
54015;49,08174;19,286806;SK;RK;Ružomberok;;K Satelitom
54016;49,061699;19,306027;SK;RK;Ružomberok;;Sládkovičova SEAT
54017;0;0;SK;RK;Ružomberok;;Nám, A,Hlinku kláštor
54018;49,081159;19,302502;SK;RK;Ružomberok;;Nám, A,Hlinku
54019;49,068912;19,300349;SK;RK;Ružomberok;;Karola Sidora
54020;49,072184;19,299359;SK;RK;Ružomberok;;K,Sidora č,d,43
54021;49,076453;19,299172;SK;RK;Ružomberok;;K,Sidora zimný štadión
54022;49,065738;19,301909;SK;RK;Ružomberok;;Baničné
54023;49,078067;19,29557;SK;RK;Ružomberok;;Detský domov
54024;49,077883;19,291337;SK;RK;Ružomberok;;Kalvária
54025;49,104273;19,24402;SK;RK;Ružomberok;Hrboltová;Mlynská
54026;49,103243;19,248263;SK;RK;Ružomberok;Hrboltová;Potočná
54027;49,086841;19,279732;SK;RK;Ružomberok;Hrboltová;Jánošík
54028;49,085876;19,284023;SK;RK;Ružomberok;;Malé Tatry
54030;49,086052;19,292033;SK;RK;Ružomberok;;Malé domky
54031;49,087447;19,302651;SK;RK;Ružomberok;;Doprastav
54032;49,089018;19,274749;SK;RK;Ružomberok;;Nová Hrboltová
54033;49,083935;19,283229;SK;RK;Ružomberok;;Katolícka univerzita
54034;49,079528;19,335431;SK;RK;Ružomberok;;Supra horná vrátnica
54036;49,077725;19,305332;SK;RK;Ružomberok;;ZŠ Zarevúca
54037;49,064668;19,304718;SK;RK;Ružomberok;;Sládkovičova
54039;49,084927;19,263889;SK;RK;Ružomberok;;Čutkovská dolina
54040;49,07778;19,31763;SK;RK;Ružomberok;;Supra hlavná vrátnica
54041;49,066803;19,310205;SK;RK;Ružomberok;;Roveň Tehelňa
54042;49,082379;19,291022;SK;RK;Ružomberok;;gymnázium
54043;49,081501;19,297471;SK;RK;Ružomberok;;Galéria
54044;49.0815718;19.3034168;SK;RK;Ružomberok;Vlkolínec;
54045;49,108161;19,239626;SK;RK;Ružomberok;Hrboltová;
54049;49,079116;19,304302;SK;RK;Ružomberok;;Riadok
54241;49,215942;18,667824;SK;ZA;Ovčiarsko;;Lány
54242;49.0804422;19.2906672;SK;RK;Ružomberok;;Obvodová
54243;49.079976;19.2869917;SK;RK;Ružomberok;;J,Hanulu
54244;0;0;SK;RK;Ružomberok;;K,F,Palmu
54245;49.0801166;19.295101;SK;RK;Ružomberok;;za kláštorom
54246;49.0806325;19.2892093;SK;RK;Ružomberok;;Brezová
54248;49,435834;18,768511;SK;CA;Čadca;;Kyčerka ABC
54250;49,430978;18,774524;SK;CA;Čadca;;u Šotra
54251;49,437678;18,78055;SK;CA;Čadca;;Gočárova ul,
54252;49,433992;18,779259;SK;CA;Čadca;;Martinkov potok
54268;49,147689;19,245597;SK;RK;Komjatná;;Pod Stráňou
54289;49,183404;19,321684;SK;DK;Vyšný Kubín;;nad mlynom
54293;49,088864;18,932929;SK;MT;Martin;Košúty;BILLA
54294;49,084984;18,931394;SK;MT;Martin;Košúty;kostol
54319;49,084217;19,270768;SK;RK;Ružomberok;;Klačno stred
54504;49,303996;18,772577;SK;KM;Kysucké Nové Mesto;;Suľkov ZŠ
54505;49,301308;18,77152;SK;KM;Kysucké Nové Mesto;;Dúbska cesta Beňo
54506;49,300341;18,768916;SK;KM;Kysucké Nové Mesto;;Dúbska cesta cint,
54516;49,214545;18,775718;SK;ZA;Žilina;;Vodné dielo eXtreme park
54517;49,202751;18,813267;SK;ZA;Mojš;;Vodné dielo
54612;49,305605;18,774657;SK;KM;Kysucké Nové Mesto;;Kukučínova ul,1068
54613;49,303866;18,779228;SK;KM;Kysucké Nové Mesto;;Kukučínova ul,Jednota
54614;49,307022;18,765601;SK;KM;Kysucké Nové Mesto;;Podstránie
54615;49,303963;18,765228;SK;KM;Kysucké Nové Mesto;;Neslušská cesta
54616;49,303081;18,771218;SK;KM;Kysucké Nové Mesto;;Hurbanova ul,
54617;49,299971;18,781639;SK;KM;Kysucké Nové Mesto;;Hotel B
54618;49,296655;18,781218;SK;KM;Kysucké Nové Mesto;;Clementisova ul,ZŠ
54619;49,297852;18,786386;SK;KM;Kysucké Nové Mesto;;Clementisova ul,most
54620;49,298755;18,786013;SK;KM;Kysucké Nové Mesto;;Dom potravín
54621;0;0;SK;KM;Kysucké Nové Mesto;;Nábrežná ulica
54622;49,301868;18,788309;SK;KM;Kysucké Nové Mesto;;Pivovarská ul,bl,H
54623;49,30418;18,78931;SK;KM;Kysucké Nové Mesto;;Pivovarská ul,
54624;49,306568;18,79337;SK;KM;Kysucké Nové Mesto;;Kamence Sládkovičova ul,
54625;49,308564;18,78763;SK;KM;Kysucké Nové Mesto;;Kamence Drevina A
54627;49,050964;18,889568;SK;MT;Bystrička;;Agáty
54628;49,097519;18,92127;SK;MT;Martin;;Dol,Záturčie cesta 1/18
54629;49,081076;18,88788;SK;MT;Martin;;Stráne ul,Brezová
54630;49,112649;18,919826;SK;MT;Vrútky;;Čachovský rad
54631;49,06573;18,919707;SK;MT;Martin;;Hlavná pošta
54632;49,050393;18,88137;SK;MT;Bystrička;;centrum
54633;49,059816;18,867724;SK;MT;Bystrička;;Lázky
54634;49,069756;18,92732;SK;MT;Martin;;Dojčenský ústav
54635;49,061781;18,918144;SK;MT;Martin;;Obchodná akadémia
54636;49,109224;18,917186;SK;MT;Vrútky;;Hôrka
54637;49,085119;18,920898;SK;MT;Martin;;Horné Záturčie
54638;49,061837;18,923979;SK;MT;Martin;;Hotel Turiec
54639;49,05218;18,8987;SK;MT;Bystrička;;Hrby
54640;49,090638;18,933926;SK;MT;Martin;Košúty;sídlisko
54641;49,052653;18,925246;SK;MT;Martin;;Ľadoveň
54642;49,052984;18,875669;SK;MT;Bystrička;;Lesný závod
54643;49,126509;18,925633;SK;MT;Lipovec;;
54644;49,073818;18,924568;SK;MT;Martin;;Ul,Č,armády II,
54646;49,113455;18,92029;SK;MT;Vrútky;;Matušovičovský rad
54647;49,086902;18,950191;SK;MT;Martin;Košúty;Ul,Dúbravca II,
54648;49,081561;18,917007;SK;MT;Martin;Podháj;III,
54649;49,079046;18,915229;SK;MT;Martin;Podháj;II,
54650;49,076515;18,913665;SK;MT;Martin;Podháj;I,
54651;49,100405;18,924682;SK;MT;Martin;Priekopa;II,
54652;49,080812;18,877459;SK;MT;Martin;;Stráne Ul,Hrdinov SNP II,
54653;49,090832;18,9191;SK;MT;Martin;;Dol,Záturčie I,
54654;49,093206;18,919162;SK;MT;Martin;;Dol,Záturčie II,
54655;49,097183;18,919143;SK;MT;Martin;;Dol,Záturčie sídlisko
54656;49,107975;18,911945;SK;MT;Martin;;Kol,Hviezda I,
54657;49,107835;18,906997;SK;MT;Martin;;Kol,Hviezda II,
54658;49,107777;18,900462;SK;MT;Martin;;Kol,Hviezda konečná
54659;49,108838;18,937716;SK;MT;Martin;;Nákladné nádražie
54660;49,051671;18,905102;SK;MT;Martin;;Odtoky kúpalisko
54661;49,078221;18,905119;SK;MT;Martin;;Ul,Hollého I,
54662;49,079575;18,900233;SK;MT;Martin;;Ul,Hollého II,
54663;49,08024;18,894873;SK;MT;Martin;;Ul,Hollého III,
54664;49,062155;18,941474;SK;MT;Martin;Tomčany;
54665;49,055886;18,92434;SK;MT;Martin;;Ľadoveň Ul,Nade Hejnej
54666;49,112204;18,92667;SK;MT;Vrútky;;Ul,M,R,Štefánika
54667;49,07654;18,910945;SK;MT;Martin;;Ul,Mládeže
54668;49,112266;18,927524;SK;MT;Vrútky;;Ul,sv,Cyrila a Metoda I,
54669;49,103659;18,929046;SK;MT;Martin;;Ul,Medňanského
54670;49,117715;18,903228;SK;MT;Vrútky;;Ul,Karvaša a Bláhovca I,
54671;49,116882;18,897571;SK;MT;Vrútky;;Ul,Karvaša a Bláhovca II,
54673;49,111255;18,927859;SK;MT;Vrútky;;Ul,Sládkovičova
54674;49,087211;18,947313;SK;MT;Martin;Košúty;Ul,Dúbravca I,
54675;49,080856;18,922458;SK;MT;Martin;;TESCO
54676;49,100957;18,929479;SK;MT;Martin;;ZŠ Lipová
54677;49,075166;18,923615;SK;MT;Martin;;ZŠ A,Bernoláka
54678;49,057772;18,920719;SK;MT;Martin;;ZŠ Nade Hejnej
54679;49,109529;18,926663;SK;MT;Vrútky;;ZŠ M,R,Štefánika
54680;49,091137;18,939523;SK;MT;Martin;Košúty;ECCO
54681;49,043669;18,910246;SK;MT;Martin;;Dopravný podnik
54682;49,06144;18,920378;SK;MT;Martin;;nem,
54683;49,063254;18,90879;SK;MT;Martin;;Tepláreň
54684;49,114336;18,950043;SK;MT;Turčianske Kľačany;;
54685;49,117315;18,943036;SK;MT;Turčianske Kľačany;;most
54686;49,10484;18,943245;SK;MT;Martin;;VÚ SIM
54687;49,080651;18,872365;SK;MT;Martin;;Stráne
54688;49,070784;18,930371;SK;MT;Martin;;ŠD LFUK
54689;49,062553;18,912111;SK;MT;Martin;;Ul,Robotnícka
54690;49,068756;18,911405;SK;MT;Martin;;ZŤS poliklinika
54691;49,101214;18,938143;SK;MT;Martin;;Nová Neografia
54692;49,130241;18,913096;SK;MT;Martin;;Pod kanálom
54693;49,11561;18,945472;SK;MT;Turčianske Kľačany;;ZŠ
54695;49,29695;18,784567;SK;KM;Kysucké Nové Mesto;;nákup,str,
54696;49,107229;18,923352;SK;MT;Vrútky;;Ul,1,Čsl,brigády
54697;49,110342;18,922899;SK;MT;Vrútky;;Nábrežná ul,
54698;49,098059;18,93266;SK;MT;Martin;Priekopa;I,kol,
54699;49,101165;18,93127;SK;MT;Martin;Priekopa;I,kol,obchod
54700;49,125144;18,916276;SK;MT;Lipovec;;SKŠ
54701;49,116501;18,91892;SK;MT;Vrútky;;NADAS ul,Švermova
54702;49,081092;18,883438;SK;MT;Martin;;Stráne Ul,Hrdinov SNP I,
54731;49,111043;19,648709;SK;LM;Smrečany;;bytovky
54774;48,996662;18,956651;SK;MT;Necpaly;;Morávkova
54841;49,06872;19,531826;SK;LM;Galovany;;križ,
54915;49,457764;18,776791;SK;CA;Čadca;Podzávoz;rázc,
54916;49,441587;18,786038;SK;CA;Čadca;;stromoradie
54917;49,404783;18,78738;SK;CA;Čadca;Vojty;
54918;49,409911;18,786767;SK;CA;Čadca;;Belajka
54919;49,415579;18,785542;SK;CA;Čadca;Rieka;lyžiarsky vlek
54922;49,427903;18,786487;SK;CA;Čadca;Rieka;garáže
54923;49,434843;18,789601;SK;CA;Čadca;;Žiarec Bl,1
54924;49,431374;18,788654;SK;CA;Čadca;;Žiarec ZŠ
54925;49,432754;18,767382;SK;CA;Čadca;;Kyčerka bl,12
54926;49,464738;18,814199;SK;CA;Čadca;Čadečka;pod Sosnami
54927;49,465354;18,843816;SK;CA;Čadca;Čadečka;u Habčáka
54928;49,469138;18,86105;SK;CA;Čadca;Čadečka;u Králi
54929;49,46329;18,767413;SK;CA;Čadca;Milošová;u Kadluba
54930;49,468423;18,761979;SK;CA;Čadca;Milošová;Huľany
54931;49,472883;18,755258;SK;CA;Čadca;Milošová;pod Jamkami
54932;49,476283;18,748619;SK;CA;Čadca;Milošová;pod Dejovkou
54933;49,478141;18,741273;SK;CA;Čadca;Milošová;u Kadlubca
54934;49,480368;18,73598;SK;CA;Čadca;Milošová;ZŠ
54935;49,484484;18,735023;SK;CA;Čadca;Milošová;u Prívary
54936;49,490151;18,730338;SK;CA;Čadca;Milošová;pod Megoňkami
54937;49,494548;18,723051;SK;CA;Čadca;Milošová;Megoňky
54938;49,466533;18,850057;SK;CA;Čadca;Čadečka;Uskoba
54939;49,454929;18,781136;SK;CA;Čadca;Podzávoz;u Krasňana
54940;49,460544;18,772351;SK;CA;Čadca;Podzávoz;Ščury
54941;49,466251;18,824082;SK;CA;Čadca;Čadečka;u Kliešča
54942;49,466635;18,834547;SK;CA;Čadca;Čadečka;u Miškoňa
54943;49,42041;18,785489;SK;CA;Čadca;Rieka;Vyšná stred
54944;49,424289;18,785261;SK;CA;Čadca;Rieka;Nižná
54945;49,433812;18,776074;SK;CA;Čadca;;Hurbanova ul,
54969;49,119514;18,888369;SK;MT;Vrútky;;Pamätník K,a B,
54970;49,113942;18,930226;SK;MT;Vrútky;;ŽOS
54991;49,110712;18,93194;SK;MT;Vrútky;;Ul,sv,Cyrila a Metoda II,
54992;0;0;SK;MT;Vrútky;;Ul,Lesná I,
54993;49.0796457;18.9240233;SK;MT;Martin;;ZŠ A,Dubčeka
54994;49.0798543;18.9315633;SK;MT;Martin;;ZŠ Východná
54995;49,122855;18,912976;SK;MT;Vrútky;;Horná Kružná
54996;49,120566;18,915317;SK;MT;Vrútky;;Dolná Kružná I,
54997;49,122168;18,914058;SK;MT;Vrútky;;Dolná Kružná II,
54999;0;0;SK;MT;Martin;;Ul,Nerudova
55000;0;0;SK;MT;Martin;;Ul,Helsinská I,
55001;0;0;SK;MT;Martin;;Ul,Helsinská II,
55002;0;0;SK;MT;Vrútky;;Ul,Horná I,
55003;0;0;SK;MT;Vrútky;;Ul,Horná II,
55004;0;0;SK;MT;Vrútky;;Ul,Fínska
55005;0;0;SK;MT;Vrútky;;Ul,Lesná II,
55112;49,216513;18,756295;SK;ZA;Žilina;;Nemocničná
55113;49,079581;19,631746;SK;LM;Liptovský Mikuláš;;St,NICOLAUS
55120;49,241223;18,753934;SK;ZA;Žilina;;Farebná
55161;0;0;SK;NO;Bobrov;;Lán
55162;49,421464;19,425293;SK;NO;Oravská Jasenica;;Redikalne
55202;49,052239;18,91871;SK;MT;Martin;;Ul,Stavbárska
55206;49.0262033;19.2921217;SK;RK;Ružomberok;Biely Potok;Družstevná
55207;0;0;SK;RK;Ružomberok;Vlkolínec;rázc,Červenská
55208;49.220176;18.7540551;SK;ZA;Žilina;;Hyundai
55212;49.3780428;19.5995139;SK;TS;Trstená;;Pod Kadlubom
55214;49,201045;18,535278;SK;BY;Predmier;;ZŠ
55215;49.2606215;18.7496234;SK;ZA;Žilina;Vranie;Labutia
55263;49.2273972;18.5521564;SK;BY;Bytča;;Okružná
55264;0;0;SK;BY;Bytča;;Poliklinika mesto
55265;0;0;SK;BY;Bytča;;Poliklinika Makyta
55459;49,051227;19,028327;SK;MT;Sklabinský Podzámok;;č,d,27
55560;49,18369;18,514696;SK;BY;Maršová-Rašov;;OcÚ
55566;49,107535;19,040245;SK;MT;Turany;;zdrav,str,
55577;49,435782;18,793937;SK;CA;Čadca;;žel,zast,mesto
55682;49,175522;18,721743;SK;ZA;Lietavská Lúčka;;ZŠ Májová ul,
55795;0;0;SK;RK;Bešeňová;;Aqua Park
55796;0;0;SK;RK;Ružomberok;;ul,Šoltésovej cyklokorytnička
55846;49,298025;18,769578;SK;KM;Kysucké Nové Mesto;;Schaeffler II,
55871;49,407504;19,658219;SK;TS;Trstená;;št,hr,CLO
55887;49,099912;19,43457;SK;RK;Bešeňová;;bytovka 109
55888;49,097998;19,429097;SK;RK;Bešeňová;;Sihoť
55913;49,085907;18,924736;SK;MT;Martin;;Tulip
55941;0;0;SK;ZA;Bitarová;;kríž
55961;0;0;SK;TS;Suchá Hora;;št,hr,CLO
55997;49.0379179;19.7324582;SK;LM;Liptovský Hrádok;;stavebniny
56003;49.2213311;18.8057849;SK;ZA;Teplička nad Váhom;;Pod Vršky
56012;49.0243127;18.9253141;SK;MT;Žabokreky;;pož,zbroj,
56029;49.0908934;19.6018439;SK;LM;Liptovský Mikuláš;;ul,Štefánikova
56038;49.0786309;19.60295645654798;SK;LM;Liptovský Mikuláš;;TESCO
56073;49,035941;19,334162;SK;RK;Ludrová;;otočka
56076;49,508191;18,96267;SK;CA;Skalité;;CLO D3
56154;49.46090565;18.780139495687074;SK;CA;Čadca;;priemyselný park
56176;0;0;SK;TS;Zuberec;;Roháče Spálená lanovka
56202;0;0;SK;DK;Chlebnice;;otočka
